invoice_id,date,category,vendor,department,expense,revenue,status,notes
1000,2024-01-15,Travel,FlyAway,Sales,3972,0,Pending,
1001,2024-03-28,Travel,EuroTravel,Finance,3119,0,Approved,Check discrepancy
1002,2024-03-04,Office Supplies,Staples,Operations,1384,0,Rejected,Rejected invoice
1003,2024-02-28,Hardware,Dell,Finance,2247,0,Approved,
1004,2024-03-04,Payment Processing,PayPal,Marketing,3756,0,Approved,
1005,2024-03-29,Travel,FlyAway,Marketing,441,0,Rejected,Rejected invoice
1006,2024-03-11,Office Supplies,OfficeMart,Marketing,975,0,Pending,
1007,2024-01-02,Marketing Tools,HubSpot,Marketing,2813,0,Approved,
1008,2024-02-03,Office Supplies,Staples,Marketing,1195,0,Approved,
1009,2024-03-02,Software Licenses,JetBrains,Marketing,537,0,Approved,
1010,2024-02-10,Hardware,HP,Marketing,4084,0,Approved,
1011,2024-01-08,Software Licenses,Adobe,Marketing,591,0,Approved,
1012,2024-02-10,Subscriptions,Slack,Operations,400,0,Completed,
1013,2024-02-13,Travel,EuroTravel,Sales,1770,0,Pending,
1014,2024-03-30,Payment Processing,Stripe,Sales,1070,0,Approved,
1015,2024-03-17,Consulting,BizAdvisors,Marketing,1063,0,Approved,
1016,2024-01-23,Marketing Tools,HubSpot,Sales,1878,0,Pending,
1017,2024-03-26,Travel,EuroTravel,Finance,2929,0,Completed,
1018,2024-02-13,Advertising,Facebook Ads,Marketing,2181,0,Approved,
1019,2024-01-01,Hardware,Dell,IT,4229,0,Approved,
1020,2024-01-09,Payment Processing,Stripe,Finance,863,0,Approved,
1021,2024-03-02,Software Licenses,Adobe,Marketing,1491,0,Rejected,Rejected invoice
1022,2024-02-25,Cloud Services,AWS,IT,2360,2854,Approved,
1023,2024-01-02,Cloud Services,AWS,Finance,2977,6931,Approved,
1024,2024-02-07,Software Licenses,Adobe,IT,3131,3930,Approved,
1025,2024-02-28,Cloud Services,AWS,Marketing,1994,0,Approved,
1026,2024-01-19,Payment Processing,PayPal,Finance,1934,0,Approved,
1027,2024-01-11,Travel,FlyAway,IT,4261,0,Approved,
1028,2024-02-29,Consulting,BizAdvisors,IT,3923,0,Approved,
1029,2024-01-19,Travel,EuroTravel,IT,1354,0,Pending,
1030,2024-03-12,Cloud Services,Google Cloud,IT,4399,0,Pending,Check discrepancy
1031,2024-01-18,Hardware,Dell,IT,3977,0,Approved,
1032,2024-03-08,Hardware,HP,IT,1500,0,Approved,
1033,2024-01-17,Software Licenses,Adobe,Finance,2935,0,Approved,
1034,2024-02-20,Travel,FlyAway,Sales,3554,0,Completed,
1035,2024-03-09,Cloud Services,Google Cloud,IT,1015,0,Approved,Check discrepancy
1036,2024-01-30,Cloud Services,AWS,Marketing,3644,0,Rejected,Rejected invoice
1037,2024-02-15,Subscriptions,Atlassian,IT,3370,3139,Rejected,Rejected invoice
1038,2024-03-07,Subscriptions,Notion,IT,2016,0,Approved,
1039,2024-02-01,Payment Processing,PayPal,Operations,1886,0,Pending,
1040,2024-02-02,Office Supplies,Staples,IT,3006,0,Approved,
